filename;divider;enhancer;lowbandCompressor;lowbandImpulseNumber;lowbandSeparateExcitation;highbandCompressor;highbandImpulseNumber;highbandSeparateExcitation;PEAQ;PESQ
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;32;SepExc;G7231Compressor;4;SepExc;-2.0762032633039507;4.257
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;32;SepExc;G7231Compressor;8;SepExc;-1.372496705087281;4.301
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;32;SepExc;G7231Compressor;16;SepExc;-0.9735368181252708;4.316
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;32;SepExc;G7231Compressor;32;SepExc;-0.7216672770765236;4.323
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;32;SepExc;G7231Compressor;4;;-1.964639549155622;4.259
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;32;SepExc;G7231Compressor;8;;-1.5154934604990782;4.293
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;32;SepExc;G7231Compressor;16;;-1.199468717653227;4.311
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;32;SepExc;G7231Compressor;32;;-1.084102713854871;4.316
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;32;SepExc;DummyCompressor;;;-0.6409258334941179;4.326
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;4;;G7231Compressor;4;SepExc;-3.460962758098606;2.579
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;4;;G7231Compressor;8;SepExc;-3.303724744311157;2.596
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;4;;G7231Compressor;16;SepExc;-3.2033246894179;2.610
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;4;;G7231Compressor;32;SepExc;-3.1483701691705024;2.618
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;4;;G7231Compressor;4;;-3.4235515430246144;2.581
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;4;;G7231Compressor;8;;-3.3186190748270783;2.594
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;4;;G7231Compressor;16;;-3.2434009449748333;2.607
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;4;;G7231Compressor;32;;-3.2125086716845153;2.614
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;4;;DummyCompressor;;;-3.1414177343629555;2.621
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;8;;G7231Compressor;4;SepExc;-3.2738266025565848;3.063
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;8;;G7231Compressor;8;SepExc;-2.9981037607842866;3.087
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;8;;G7231Compressor;16;SepExc;-2.814380740786885;3.105
